colname,desc_swe,desc_eng
name,Art,Vernacular
sciname,Binomen,Scientific Name
ringing_sex_code,Könskod,Bird Sex Code
ringing_sex,Kön,Sex
ringing_age_code,Ålderskod,Age Code
ringing_age,Ålder,Age
ringing_date,Märkt,Ringed
ringing_lat,Märklatitud,Ringing Latitude
ringing_lon,Märklongitud,Ringing Longitude
ringing_country,Märkland,Ringing Country
ringing_province,Märkprovins,Ringing Province
ringing_majorplace,Märkningens Plats (Ungefärlig),Ringing Location (Approx)
ringing_minorplace,Märkningens Plats (Precis),Ringing Location (Precise)
recovery_type,Fyndets typ,Recovery Type
recovery_date,Funnen,Recovered
recovery_date_accu_code,Fynddatumets nogrannhetskod,Recovery Date Accuracy Code
recovery_date_accu,Fynddatumets noggrannhet,Recovery Date Accuracy
recovery_lat,Fyndets latitud,Recovery Latitude
recovery_lon,Fyndets longitud,Recovery Longitude
recovery_coord_accu,Fyndkoordinatens noggrannhet,Recovery Location Accuracy
recovery_country,Fyndland,Recovery Country
recovery_province,Fyndprovins,Recovery Province
recovery_majorplace,Fyndets Plats (Ungefärlig),Recovery Location (Approx)
recovery_minorplace,Fyndets Plats (Precis),Recovery Location (Precise)
distance,Avstånd (km),Distance (km)
direction,Riktning (grader),Direction (degrees)
days,Dagar sedan märkning,Days Since Ringing
hours,Timmar,Hours
recovery_code,Fyndkod,Recovery Code
recovery_details,Fynddetaljer,Recovery Details
recovery_source,Källa,Source
modified_date,Registerdatum,Registration Date
ui_tab_map_label,Karta,Map
ui_tab_map_help,Nuvarande urval (max 4000 träffar),Current selection (max 4000 hits)
ui_tab_table_label,Tabell,Table
ui_tab_table_help,Nuvarande urval (max 4000 träffar),Current selection (max 4000 hits)
ui_tab_download_label,Källdata,Source Data
ui_tab_download_help,Ladda ned data I textformat (CSV),Download data in text format (CSV)
ui_tab_download_button,Hämta data,Download
ui_recovery_month,Fyndets Månad(er),Recovery Month(s)
ui_recovery_year,Fyndets År,Recovery Year(s)
ui_tab_about_label,Om,About
ui_tab_about_help,Bakgrund och kontaktinformation,Background and contact details
